lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
64.,Basler,Rainer,BSC Saas Bayreuth,84,245,Bezirksliga,2003,Oberfranken
65.,Brown,David,ATS Kulmbach,81,245,Bezirksliga,2003,Oberfranken
66.,Richter,Robert,VfL Jahn Bamberg,80,245,Bezirksliga,2003,Oberfranken
67.,Schneider,Torsten,ATS Kulmbach,80,245,Bezirksliga,2003,Oberfranken
68.,Schabacker,Ulf,TSV Breitengüßbach 4,79,245,Bezirksliga,2003,Oberfranken
69.,Sieben,Sebastian,TTL Bamberg,79,245,Bezirksliga,2003,Oberfranken
70.,Kulla,Johannes,1.FC 01 Bamberg,77,245,Bezirksliga,2003,Oberfranken
71.,Wagner,Burkhard,BBC Coburg,76,245,Bezirksliga,2003,Oberfranken
72.,Böhner,Uwe,BSC Saas Bayreuth,76,245,Bezirksliga,2003,Oberfranken
73.,Rothaug,Thomas,VfL Jahn Bamberg,75,245,Bezirksliga,2003,Oberfranken
74.,Jacob,Nils,BBC Coburg,65,245,Bezirksliga,2003,Oberfranken
75.,Henzler,Jens,TSV Breitengüßbach 4,61,245,Bezirksliga,2003,Oberfranken
76.,Lauer,Wolfgang,1.FC 01 Bamberg,60,245,Bezirksliga,2003,Oberfranken
77.,Göller,Klaus,VfL Jahn Bamberg,60,245,Bezirksliga,2003,Oberfranken
78.,Flierl,Kilian,TTL Bamberg,60,245,Bezirksliga,2003,Oberfranken
79.,Kaiser,Stefan,1.FC 01 Bamberg,58,245,Bezirksliga,2003,Oberfranken
80.,Uzelino,Florian,BG Litzendorf,57,245,Bezirksliga,2003,Oberfranken
81.,Reuß,Marc,1.FC 01 Bamberg,56,245,Bezirksliga,2003,Oberfranken
82.,Scholz,Dominik,TTL Bamberg,55,245,Bezirksliga,2003,Oberfranken
83.,Reinhold,Ingo,ATS Kulmbach,54,245,Bezirksliga,2003,Oberfranken
84.,Lips,Christoph,SpVgg Rattelsdorf 2,53,245,Bezirksliga,2003,Oberfranken
85.,Dippold,Armin,TSV Breitengüßbach 4,50,245,Bezirksliga,2003,Oberfranken
86.,Neumann,Matthias,BSC Saas Bayreuth,49,245,Bezirksliga,2003,Oberfranken
87.,Dittrich,René,1. FC Baunach 2,48,245,Bezirksliga,2003,Oberfranken
88.,Morris,Patrick,1. FC Baunach 2,47,245,Bezirksliga,2003,Oberfranken
89.,Dormann,Markus,1.FC 01 Bamberg,47,245,Bezirksliga,2003,Oberfranken
90.,Pfister,Heiko,TTL Bamberg,46,245,Bezirksliga,2003,Oberfranken
91.,Aas,Manuel,SpVgg Rattelsdorf 2,40,245,Bezirksliga,2003,Oberfranken
92.,Hauptmann,Andreas,1.FC 01 Bamberg,39,245,Bezirksliga,2003,Oberfranken
93.,Bauer,Rainer,BSC Saas Bayreuth,37,245,Bezirksliga,2003,Oberfranken
94.,Thurn,Michael,1. FC Baunach 2,36,245,Bezirksliga,2003,Oberfranken
95.,Stolpowski,Oleg,1. FC Baunach 2,36,245,Bezirksliga,2003,Oberfranken
96.,Imhof,Dominik,SpVgg Rattelsdorf 2,35,245,Bezirksliga,2003,Oberfranken
97.,Spindler,Sebastian,BG Litzendorf,35,245,Bezirksliga,2003,Oberfranken
98.,Fazlija,Fetim,1. FC Baunach 2,34,245,Bezirksliga,2003,Oberfranken
99.,Balduf,Stefan,ATS Kulmbach,33,245,Bezirksliga,2003,Oberfranken
