lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
11.,Waaden von,Gary Anthony,BBC Coburg,296,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
12.,Smith,Philipp,1. FC Baunach 2,296,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
13.,Hummel,Benedikt,VfL Jahn Bamberg,290,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
14.,Tritschel,Stephan,BSC Saas Bayreuth,280,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
15.,Hofmann,Philipp,TTL Bamberg,279,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
16.,Linsner,Benjamin,TTL Bamberg,269,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
17.,Fricke,Bernd,TTL Bamberg,265,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
18.,Neumann,Michael,BG Litzendorf,255,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
19.,Obrovski,Igor,BBC Coburg,254,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
20.,Lehner,Christoph,1.FC 01 Bamberg,248,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
21.,Gulden,Matthias,1.FC 01 Bamberg,247,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
22.,Aas,Mario,SpVgg Rattelsdorf 2,232,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
23.,Griebel,Ernst,TSV Breitengüßbach 4,231,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
24.,Merklinger,Marco,SpVgg Rattelsdorf 2,222,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
25.,Schlaug,Alfons,BG Litzendorf,222,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
26.,Glaser,Uwe,BSC Saas Bayreuth,214,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
27.,Smith,Darryl Stephen,1. FC Baunach 2,210,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
28.,Höhn,Alexander,ATS Kulmbach,200,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
29.,Becher,Manuel,BSC Saas Bayreuth,199,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
30.,Gatz,Sebastian,TTL Bamberg,192,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
31.,Rüger,Heiko,ATS Kulmbach,190,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
32.,Bretag,Rainer,1.FC 01 Bamberg,168,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
33.,Uch,Hans-Jürgen,TSV Breitengüßbach 4,163,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
34.,Güttler,Andreas,BSC Saas Bayreuth,162,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
35.,Schmidt,Martin,BSC Saas Bayreuth,162,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
36.,Seidenschnur,Ingmar,BBC Coburg,159,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
37.,Pelikan,Nils,1. FC Baunach 2,157,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
38.,Laberer,Markus,1. FC Baunach 2,151,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
